Tag/Group,Method,Path Endpoint,Summary,Description,Parameters,Has Request Body,Response Codes
MinIO Object Storage,GET,/storage/objects,เรียกดูรายการไฟล์ใน Bucket (List Objects),เรียกดูรายชื่อวัตถุ/ไฟล์ทั้งหมดใน Bucket ที่ระบุ,"bucket_name (query, Required); prefix (query, Optional)",No,"200, 422"
MinIO Object Storage,POST,/storage/presigned-url,สร้าง Presigned URL สำหรับดาวน์โหลดไฟล์แบบจำกัดเวลา,สร้างลิงก์ดาวน์โหลดไฟล์ชั่วคราวผ่าน MinIO Presigned GET Object API,-,Yes,"200, 422"
Profile,GET,/profile/me,ดูข้อมูลโปรไฟล์ตัวเอง,ดึงข้อมูลโปรไฟล์ของ user ที่ login อยู่ พร้อม presigned URL ของรูปโปรไฟล์,-,No,200
Profile,PUT,/profile/me,แก้ไขข้อมูลโปรไฟล์,อัปเดต full_name และ bio ของ user ที่ login อยู่,-,Yes,"200, 422"
Profile,DELETE,/profile/me/avatar,ลบรูปโปรไฟล์,ลบรูปโปรไฟล์จาก MinIO และ clear ข้อมูลใน DB,-,No,200
Profile,POST,/profile/me/avatar,อัปโหลดรูปโปรไฟล์ (ไฟล์รูป),"อัปโหลดรูปโปรไฟล์ไป MinIO  - รองรับ: JPEG, PNG, GIF, WebP - ขนาดไม่เกิน 5MB - ลบรูปเก่าอัตโนมัติ",-,Yes,"200, 422"
Profile,POST,/profile/me/avatar-url,ตั้งรูปโปรไฟล์จาก URL (ลิงก์ MinIO),ตั้งรูปโปรไฟล์โดยใส่ object name ที่เก็บใน MinIO  เช่น ถ้ามีรูปอยู่ใน MinIO แล้ว สามารถใส่ object_name เช่น `avatars/my-photo.jpg` เพื่อตั้งเป็นรูปโปรไฟล์ได้เลย,"object_name (query, Required)",No,"200, 422"
Redis Cache & ARQ Tasks,POST,/tasks/cache,บันทึกข้อมูลเข้า Redis Cache (Set Key-Value with TTL),บันทึกข้อมูล Key-Value ลงใน Redis Cache พร้อมกำหนดเวลาหมดอายุ (TTL),-,Yes,"200, 422"
Redis Cache & ARQ Tasks,GET,/tasks/cache/{key},ดึงข้อมูลจาก Redis Cache (Get Key-Value),อ่านข้อมูลจาก Redis Cache ตาม Key ที่ระบุ,"key (path, Required)",No,"200, 422"
Redis Cache & ARQ Tasks,POST,/tasks/enqueue,ส่งงานเข้าคิวประมวลผลเบื้องหลัง (Enqueue ARQ Task),ส่งคำสั่งเข้าคิวงานเบื้องหลัง (ARQ Task Queue) เพื่อให้ Background Worker ดึงไปประมวลผลแบบ Asynchronous,-,Yes,"200, 422"
System & Infrastructure,GET,/system/health,ตรวจสอบสถานะความพร้อมของบริการทั้งหมด (System Health Check),**การตรวจสอบสถานะการเชื่อมต่อ (Health Check)**: - **PostgreSQL**: ส่งคำสั่ง `SELECT 1` ผ่าน SQLAlchemy - **MinIO**: เรียกคำสั่ง `list_buckets()` เพื่อตรวจสอบ S3 API - **Redis**: สื่อสารคำสั่ง `PING` ผ่าน Redis client - **Label Studio**: ตรวจสอบการเชื่อมต่อ API ของ Label Studio SDK,-,No,200
